# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3.6-35B-A3B-UD-Q4_K_S.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8 threads=6 n_ctx=4096 n_ubatch=0 chatml=1
# moe_stream=1 cache_mb=0 cache_auto=0 cache_floor_mb=1536 cache_ceil_mb=0 cache_cycle_mb=547 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,128,259.905,620.397,85.704,576651264,-1.00,174.050,0.150,0,769.842,-1.000,0,0.00,0.0,9589.3,3305.7,6283.6,0.0,37414.4,22662.0,20479.5,0.249,1,0.000,0.005,0.000,0.000,0.000
2,128,260.539,624.759,83.758,576651264,-1.00,176.614,0.167,0,760.895,-1.000,0,0.00,0.0,9589.3,3308.2,6281.1,0.0,37412.2,22662.0,20479.5,0.401,1,0.000,0.004,0.000,0.000,0.000
3,128,259.818,620.869,84.706,576651264,-1.00,174.283,0.829,0,765.908,1.000,0,0.00,0.0,9589.3,3308.2,6281.1,0.0,37417.5,22668.7,20479.5,0.376,1,0.000,0.005,0.000,0.000,0.000
4,128,260.509,622.187,84.805,576651264,-1.00,175.519,0.186,0,764.663,1.000,0,0.00,0.0,9590.0,3309.0,6281.1,0.0,37417.0,22668.2,20479.5,0.364,1,0.000,0.005,0.000,0.000,0.000
5,128,259.566,626.821,83.238,576651264,-1.00,176.164,0.164,0,754.510,1.000,0,0.00,0.0,9589.7,3309.8,6279.8,0.0,37415.1,22667.5,20479.5,0.365,1,0.000,0.006,0.000,0.000,0.000
6,128,258.688,619.630,83.380,576651264,-1.00,174.483,0.824,0,761.159,1.000,0,0.00,0.0,9589.9,3311.3,6278.6,0.0,37418.5,22671.9,20479.5,0.363,1,0.000,0.004,0.000,0.000,0.000
7,128,258.769,621.425,84.920,576651264,-1.00,173.687,0.162,0,757.560,1.000,0,0.00,0.0,9589.9,3311.3,6278.6,0.0,37418.0,22671.7,20479.5,0.373,1,0.000,0.005,0.000,0.000,0.000
8,128,257.449,614.946,83.484,576651264,-1.00,173.790,0.174,0,759.611,1.000,0,0.00,0.0,9589.4,3312.1,6277.3,0.0,37415.8,22670.4,20479.5,0.368,1,0.000,0.005,0.000,0.000,0.000
9,128,257.545,619.674,83.176,576651264,-1.00,173.427,0.942,0,758.170,1.000,0,0.00,0.0,9589.4,3312.1,6277.3,0.0,37415.5,22670.2,20479.5,0.356,1,0.000,0.005,0.000,0.000,0.000
10,128,259.624,622.181,84.737,576651264,-1.00,174.706,0.180,0,769.201,1.000,0,0.00,0.0,9589.4,3312.1,6277.3,0.0,37418.8,22673.4,20479.5,0.370,1,0.000,0.005,0.000,0.000,0.000
11,128,259.358,621.981,84.515,576651264,-1.00,174.661,0.183,0,766.947,1.000,0,0.00,0.0,9589.0,3313.0,6276.1,0.0,37414.8,22671.0,20479.5,0.368,1,0.000,0.005,0.000,0.000,0.000
12,128,258.334,615.882,84.755,576651264,-1.00,172.768,0.812,0,768.074,1.000,0,0.00,0.0,9589.0,3313.0,6276.1,0.0,37414.6,22670.8,20479.5,0.364,1,0.000,0.005,0.000,0.000,0.000
