mode,bs,qd,regbuf,status,MiBps,IOPS,secs
pread,4096,1,,ok,55.3,14165,4.627
uring,4096,1,,ok,54.7,14014,4.677
uring,4096,1,1,ok,55.2,14138,4.636
pread,4096,8,,ok,55.5,14216,4.610
uring,4096,8,,ok,61.5,15750,4.161
uring,4096,8,1,ok,110.2,28199,2.324
pread,4096,32,,ok,55.4,14189,4.619
uring,4096,32,,ok,158.6,40598,1.614
uring,4096,32,1,ok,233.4,59748,1.097
pread,4096,64,,ok,54.6,13969,4.692
uring,4096,64,,ok,598.9,153307,0.427
uring,4096,64,1,ok,894.3,228943,0.286
pread,4096,128,,ok,53.2,13631,4.808
uring,4096,128,,ok,1093.8,280002,0.234
uring,4096,128,1,ok,1270.7,325303,0.201
pread,589824,1,,ok,1364.3,2425,0.188
uring,589824,1,,ok,1441.3,2562,0.178
uring,589824,1,1,ok,1721.4,3060,0.149
pread,589824,8,,ok,1658.3,2948,0.154
uring,589824,8,,ok,3383.8,6016,0.076
uring,589824,8,1,ok,3382.3,6013,0.076
pread,589824,32,,ok,1580.3,2809,0.162
uring,589824,32,,ok,3211.3,5709,0.080
uring,589824,32,1,ok,3396.3,6038,0.075
pread,589824,64,,ok,1696.5,3016,0.151
uring,589824,64,,ok,3271.8,5816,0.078
uring,589824,64,1,ok,3310.2,5885,0.077
pread,589824,128,,ok,1598.9,2843,0.180
uring,589824,128,,ok,3307.4,5880,0.087
uring,589824,128,1,ok,3318.5,5899,0.087
pread,2097152,1,,ok,2722.7,1361,0.094
uring,2097152,1,,ok,2674.2,1337,0.096
uring,2097152,1,1,ok,2766.5,1383,0.093
pread,2097152,8,,ok,2692.7,1346,0.095
uring,2097152,8,,ok,3378.2,1689,0.076
uring,2097152,8,1,ok,3335.4,1668,0.077
pread,2097152,32,,ok,2644.0,1322,0.097
uring,2097152,32,,ok,3286.1,1643,0.078
uring,2097152,32,1,ok,3334.8,1667,0.077
pread,2097152,64,,ok,2572.9,1286,0.199
uring,2097152,64,,ok,3387.1,1694,0.151
uring,2097152,64,1,ok,3310.0,1655,0.155
pread,2097152,128,,ok,2565.5,1283,0.399
uring,2097152,128,,ok,3347.3,1674,0.306
uring,2097152,128,1,ok,3242.8,1621,0.316
pread,4194304,1,,ok,3054.8,764,0.084
uring,4194304,1,,ok,3014.7,754,0.085
uring,4194304,1,1,ok,3082.0,771,0.083
pread,4194304,8,,ok,2992.8,748,0.086
uring,4194304,8,,ok,3382.9,846,0.076
uring,4194304,8,1,ok,3294.1,824,0.078
pread,4194304,32,,ok,3002.3,751,0.171
uring,4194304,32,,ok,3293.5,823,0.155
uring,4194304,32,1,ok,3326.3,832,0.154
pread,4194304,64,,ok,2932.9,733,0.349
uring,4194304,64,,ok,3263.3,816,0.314
uring,4194304,64,1,ok,3234.1,809,0.317
pread,4194304,128,,ok,2991.8,748,0.685
uring,4194304,128,,ok,3310.0,828,0.619
uring,4194304,128,1,ok,3326.7,832,0.616
pread,7340032,1,,ok,3072.3,439,0.082
uring,7340032,1,,ok,3110.3,444,0.081
uring,7340032,1,1,ok,3208.7,458,0.079
pread,7340032,8,,ok,3126.2,447,0.081
uring,7340032,8,,ok,3378.7,483,0.075
uring,7340032,8,1,ok,3355.3,479,0.075
pread,7340032,32,,ok,3035.3,434,0.295
uring,7340032,32,,ok,3354.8,479,0.267
uring,7340032,32,1,ok,3241.5,463,0.276
pread,7340032,64,,ok,3145.3,449,0.570
uring,7340032,64,,ok,3334.5,476,0.537
uring,7340032,64,1,ok,3317.2,474,0.540
pread,7340032,128,,ok,3114.8,445,1.151
uring,7340032,128,,ok,3405.6,487,1.052
uring,7340032,128,1,ok,3289.3,470,1.090
iopoll,4096,32,,ERR,0,0,0
sqpoll,4096,32,,ok,1002.9,256741,0.255
defer,4096,32,,ok,953.0,243970,0.269
defer,4096,32,1,ok,972.9,249070,0.263
iopoll,4096,128,,ERR,0,0,0
sqpoll,4096,128,,ok,1451.1,371494,0.176
defer,4096,128,,ok,1311.8,335832,0.195
defer,4096,128,1,ok,1425.7,364973,0.180
iopoll,4194304,32,,ERR,0,0,0
sqpoll,4194304,32,,ok,3378.7,845,0.152
defer,4194304,32,,ok,3357.0,839,0.153
defer,4194304,32,1,ok,3290.2,823,0.156
iopoll,4194304,128,,ERR,0,0,0
sqpoll,4194304,128,,ok,3350.5,838,0.611
defer,4194304,128,,ok,3425.0,856,0.598
defer,4194304,128,1,ok,3287.4,822,0.623
DONE
