# route_trace v1
# model=/home/scribe/models/unsloth/Qwen3.6-35B-A3B-GGUF/Qwen3.6-35B-A3B-JEV-Q5K-nonexpert.gguf arch=qwen35moe n_layer=40 n_expert=256 n_expert_used=8
# layer=0 expert_bytes=1769472 dense_bytes=28009216
# layer=1 expert_bytes=1769472 dense_bytes=28009216
# layer=2 expert_bytes=1769472 dense_bytes=28009216
# layer=3 expert_bytes=1769472 dense_bytes=24143872
# layer=4 expert_bytes=1769472 dense_bytes=28009216
# layer=5 expert_bytes=1769472 dense_bytes=28009216
# layer=6 expert_bytes=1769472 dense_bytes=28009216
# layer=7 expert_bytes=1769472 dense_bytes=24143872
# layer=8 expert_bytes=1769472 dense_bytes=28009216
# layer=9 expert_bytes=1769472 dense_bytes=28009216
# layer=10 expert_bytes=1769472 dense_bytes=28009216
# layer=11 expert_bytes=1769472 dense_bytes=24143872
# layer=12 expert_bytes=1769472 dense_bytes=28009216
# layer=13 expert_bytes=1769472 dense_bytes=28009216
# layer=14 expert_bytes=1769472 dense_bytes=28009216
# layer=15 expert_bytes=1769472 dense_bytes=24143872
# layer=16 expert_bytes=1769472 dense_bytes=28009216
# layer=17 expert_bytes=1769472 dense_bytes=28009216
# layer=18 expert_bytes=1769472 dense_bytes=28009216
# layer=19 expert_bytes=1769472 dense_bytes=24143872
# layer=20 expert_bytes=1769472 dense_bytes=28009216
# layer=21 expert_bytes=1769472 dense_bytes=28009216
# layer=22 expert_bytes=1769472 dense_bytes=28009216
# layer=23 expert_bytes=1769472 dense_bytes=24143872
# layer=24 expert_bytes=1769472 dense_bytes=28009216
# layer=25 expert_bytes=1769472 dense_bytes=28009216
# layer=26 expert_bytes=1769472 dense_bytes=28009216
# layer=27 expert_bytes=1769472 dense_bytes=24143872
# layer=28 expert_bytes=1769472 dense_bytes=28009216
# layer=29 expert_bytes=1769472 dense_bytes=28009216
# layer=30 expert_bytes=1769472 dense_bytes=28009216
# layer=31 expert_bytes=1769472 dense_bytes=24143872
# layer=32 expert_bytes=1769472 dense_bytes=28009216
# layer=33 expert_bytes=1769472 dense_bytes=28009216
# layer=34 expert_bytes=2039808 dense_bytes=28009216
# layer=35 expert_bytes=1769472 dense_bytes=24143872
# layer=36 expert_bytes=1769472 dense_bytes=28009216
# layer=37 expert_bytes=1769472 dense_bytes=28009216
# layer=38 expert_bytes=2039808 dense_bytes=28009216
# layer=39 expert_bytes=2039808 dense_bytes=24143872
turn,phase,step,layer,slot,expert,weight,residency,expert_bytes,dropped
0,0,0,0,0,129,0.147612,0,1769472,0
0,0,0,0,1,38,0.146947,0,1769472,0
0,0,0,0,2,132,0.146795,0,1769472,0
0,0,0,0,3,213,0.135542,0,1769472,0
0,0,0,0,4,21,0.12899,0,1769472,0
0,0,0,0,5,253,0.115665,0,1769472,0
0,0,0,0,6,244,0.100776,0,1769472,0
0,0,0,0,7,193,0.0776726,0,1769472,0
0,0,1,0,0,238,0.219195,0,1769472,0
0,0,1,0,1,112,0.215343,0,1769472,0
0,0,1,0,2,95,0.186923,0,1769472,0
0,0,1,0,3,43,0.114947,0,1769472,0
0,0,1,0,4,200,0.100684,0,1769472,0
0,0,1,0,5,173,0.0879369,0,1769472,0
0,0,1,0,6,70,0.0453783,0,1769472,0
0,0,1,0,7,56,0.0295921,0,1769472,0
0,0,2,0,0,187,0.481517,0,1769472,0
0,0,2,0,1,81,0.188681,0,1769472,0
0,0,2,0,2,192,0.0828876,0,1769472,0
0,0,2,0,3,115,0.0825551,0,1769472,0
0,0,2,0,4,235,0.052039,0,1769472,0
0,0,2,0,5,86,0.0447745,0,1769472,0
0,0,2,0,6,79,0.0417844,0,1769472,0
0,0,2,0,7,253,0.0257615,0,0,0
0,0,3,0,0,238,0.197701,0,0,0
0,0,3,0,1,43,0.196948,0,0,0
0,0,3,0,2,112,0.180279,0,0,0
0,0,3,0,3,236,0.107103,0,1769472,0
0,0,3,0,4,147,0.0826935,0,1769472,0
0,0,3,0,5,200,0.0822134,0,0,0
0,0,3,0,6,30,0.0770168,0,1769472,0
0,0,3,0,7,75,0.0760446,0,1769472,0
0,0,4,0,0,210,0.185229,0,1769472,0
0,0,4,0,1,240,0.156583,0,1769472,0
0,0,4,0,2,159,0.152735,0,1769472,0
0,0,4,0,3,93,0.150696,0,1769472,0
0,0,4,0,4,209,0.120733,0,1769472,0
0,0,4,0,5,247,0.0921955,0,1769472,0
0,0,4,0,6,52,0.0722038,0,1769472,0
0,0,4,0,7,204,0.0696243,0,1769472,0
0,0,5,0,0,181,0.259141,0,1769472,0
0,0,5,0,1,107,0.221252,0,1769472,0
0,0,5,0,2,82,0.159133,0,1769472,0
0,0,5,0,3,251,0.108432,0,1769472,0
0,0,5,0,4,99,0.0862577,0,1769472,0
0,0,5,0,5,68,0.0678376,0,1769472,0
0,0,5,0,6,39,0.0498154,0,1769472,0
0,0,5,0,7,160,0.0481304,0,1769472,0
0,0,6,0,0,109,0.200426,0,1769472,0
0,0,6,0,1,124,0.194788,0,1769472,0
